,,pass1,pass1,pass1,,pass2,pass2,pass2
,,2m smoothing,5m smoothing,10m smoothing,,2m smoothing,5m smoothing,10m smoothing
transect,transect segment,Length_m,Length_m,Length_m,,Length_m,Length_m,Length_m
H146,H146_P1_6,15.232,15.061,15.057,,15.232,15.061,15.057
H146,H146_P1_7,115.491,114.345,113.678,,115.458,114.324,113.669
H147,H147_P1_1,86.901,84.377,82.734,,86.901,84.377,82.734
H147,H147_P1_2,100.386,95.752,92.689,,100.386,95.752,92.689
H147,H147_P1_3,98.830,94.068,91.234,,98.819,94.124,91.270
H147,H147_P1_4,169.073,167.693,166.819,,169.073,167.693,166.819
H147,H147_P1_5,45.684,45.376,45.180,,45.684,45.376,45.180
H148,H148_P1_1,554.449,549.580,547.454,,554.412,549.558,547.425
H149,H149_P1_1,546.683,532.935,522.325,,546.680,533.002,522.409
H153,H153_P1_1,853.165,823.309,790.576,,824.414,801.893,775.177
H153,H153_P1_2,43.493,37.691,35.056,,43.493,37.691,35.056
H155,H155_P1_1,255.564,238.710,234.261,,255.721,239.274,234.726
H155,H155_P1_2,306.938,267.786,260.883,,287.785,265.766,260.421
H157,H157_P1_1,23.019,21.164,20.836,,21.937,20.410,20.310
H157,H157_P1_2,551.980,487.739,474.000,,512.404,481.409,472.042
H158,H158_P1_1,101.123,98.823,96.644,,101.123,98.823,96.644
H158,H158_P1_2,143.280,138.845,133.821,,133.343,130.600,129.114
H158,H158_P1_3,60.971,58.386,56.912,,60.971,58.387,56.918
H158,H158_P1_4,29.173,29.060,29.037,,29.173,29.060,29.037
H158,H158_P1_5,12.286,12.280,12.277,,12.286,12.280,12.277
H158,H158_P1_6,121.178,118.985,115.781,,120.988,118.896,115.737
H159,H159_P1_1,555.699,548.303,545.459,,555.657,548.278,545.435
H160,H160_P1_1,350.887,343.991,340.582,,350.822,343.938,340.541
H160,H160_P1_2,32.644,32.062,31.994,,32.509,32.017,31.967
H160,H160_P1_3,41.224,40.002,32.625,,41.224,40.002,32.625
H163,H163_P1_1,652.157,630.503,620.243,,649.388,627.370,621.582
H165,H165_P1_1,313.237,306.686,301.998,,313.237,306.686,301.998
H165,H165_P1_2,17.756,17.220,17.211,,17.756,17.220,17.211
H165,H165_P1_3,31.869,29.747,28.736,,31.869,29.747,28.736
